#isin;date;price;priceCurrency;NotationMorningStar;NotationLipperCapitalPreservation;NotationLipperRegularPerformances;NotationLipperAbsolutePerformances;SharpeRatio1;SharpeRatio3;SharpeRatio5;SharpeRatio10
FR0007046578;2014-04-26;80.3;EUR;5;4;4;4;2.01;0.72;1.23;0.5
FR0007046578;2014-04-27;80.3;EUR;5;4;4;4;2.01;0.72;1.23;0.5
FR0007046578;2014-05-17;80.35;EUR;5;4;4;4;2.01;0.72;1.23;0.5
FR0007046578;2014-05-28;81.86;EUR;5;4;4;4;1.83;0.65;1.12;0.49
FR0007046578;2014-07-22;81.19;EUR;5;4;4;4;2.74;0.73;1.1;0.48
FR0007046578;2014-09-06;81.71;EUR;5;4;4;4;1.67;0.76;0.97;0.47
FR0007046578;2014-09-28;81.81;EUR;5;4;4;4;1.92;1.32;0.92;0.48
FR0007046578;2014-10-19;73.99;EUR;5;4;4;4;1.6;1.73;0.88;0.47
FR0007046578;2015-01-04;81.78;EUR;5;4;4;4;1.01;1.66;0.9;0.46
FR0007046578;2015-01-17;82.28;EUR;5;4;4;4;0.74;1.6;0.81;0.44
